student_id,question,response
1,case1_skill1_questions1,response1
1,case2_skill2_questions2,response6
1,case3_skill3_questions3,response11
2,case1_skill1_questions1,response2
2,case2_skill2_questions2,response7
2,case3_skill3_questions3,response12
3,case1_skill1_questions1,response3
3,case2_skill2_questions2,response8
3,case3_skill3_questions3,response13
4,case1_skill1_questions1,response4
4,case2_skill2_questions2,response9
4,case3_skill3_questions3,response14
5,case1_skill1_questions1,response5
5,case2_skill2_questions2,response10
5,case3_skill3_questions3,response15
